geo_sk,geo_key,current_region,current_gouvernorat,current_localite,current_code_postal,approved_region,approved_gouvernorat,approved_delegation,approved_localite,approved_code_postal,approval_status,reviewer_comment,review_decision_rule,geo_audit_status,confidence_score,matched_source_field,matched_reference_key
4257,UNKNOWN|06101999|UNKNOWN|DENDEN|UNKNOWN,UNKNOWN,06101999,DENDEN,UNKNOWN,GRAND TUNIS,MANOUBA,MANOUBA,DENDEN,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|MANOUBA|MANOUBA|DENDEN|UNKNOWN
4287,UNKNOWN|2013|BEN AROUS|BEN AROUS|UNKNOWN,BEN AROUS,2013,BEN AROUS,UNKNOWN,GRAND TUNIS,BEN AROUS,BEN AROUS,BEN AROUS,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|BEN AROUS|BEN AROUS|BEN AROUS|UNKNOWN
4288,UNKNOWN|2041|ETTADHAMEN|ARIANA|UNKNOWN,ETTADHAMEN,2041,ARIANA,UNKNOWN,GRAND TUNIS,ARIANA,ARIANA,ARIANA,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|ARIANA|ARIANA|ARIANA|UNKNOWN
4290,UNKNOWN|2074|BEN AROUS|EL MOUROUJ|UNKNOWN,BEN AROUS,2074,EL MOUROUJ,UNKNOWN,GRAND TUNIS,BEN AROUS,EL MOUROUJ,EL MOUROUJ,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|BEN AROUS|EL MOUROUJ|EL MOUROUJ|UNKNOWN
4291,UNKNOWN|2074|TUNIS|EL MOUROUJ|UNKNOWN,TUNIS,2074,EL MOUROUJ,UNKNOWN,GRAND TUNIS,BEN AROUS,EL MOUROUJ,EL MOUROUJ,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|BEN AROUS|EL MOUROUJ|EL MOUROUJ|UNKNOWN
4292,UNKNOWN|2074|UNKNOWN|EL MOUROUJ|UNKNOWN,UNKNOWN,2074,EL MOUROUJ,UNKNOWN,GRAND TUNIS,BEN AROUS,EL MOUROUJ,EL MOUROUJ,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|BEN AROUS|EL MOUROUJ|EL MOUROUJ|UNKNOWN
4294,UNKNOWN|2076|2076|LA MARSA|UNKNOWN,2076,2076,LA MARSA,UNKNOWN,GRAND TUNIS,TUNIS,LA MARSA,LA MARSA,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|TUNIS|LA MARSA|LA MARSA|UNKNOWN
4295,UNKNOWN|2078|TUNIS|LA MARSA|UNKNOWN,TUNIS,2078,LA MARSA,UNKNOWN,GRAND TUNIS,TUNIS,LA MARSA,LA MARSA,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|TUNIS|LA MARSA|LA MARSA|UNKNOWN
4296,UNKNOWN|2078|UNKNOWN|LA MARSA|UNKNOWN,UNKNOWN,2078,LA MARSA,UNKNOWN,GRAND TUNIS,TUNIS,LA MARSA,LA MARSA,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|TUNIS|LA MARSA|LA MARSA|UNKNOWN
4297,UNKNOWN|2080|ARIANA|ARIANA|UNKNOWN,ARIANA,2080,ARIANA,UNKNOWN,GRAND TUNIS,ARIANA,ARIANA,ARIANA,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|ARIANA|ARIANA|ARIANA|UNKNOWN
4298,UNKNOWN|2080|ARINA|ARIANA|UNKNOWN,ARINA,2080,ARIANA,UNKNOWN,GRAND TUNIS,ARIANA,ARIANA,ARIANA,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|ARIANA|ARIANA|ARIANA|UNKNOWN
4299,UNKNOWN|2080|TUNIS|ARIANA|UNKNOWN,TUNIS,2080,ARIANA,UNKNOWN,GRAND TUNIS,ARIANA,ARIANA,ARIANA,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|ARIANA|ARIANA|ARIANA|UNKNOWN
4300,UNKNOWN|2080|UNKNOWN|ARIANA|UNKNOWN,UNKNOWN,2080,ARIANA,UNKNOWN,GRAND TUNIS,ARIANA,ARIANA,ARIANA,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|ARIANA|ARIANA|ARIANA|UNKNOWN
4310,UNKNOWN|3060|SFAX|MAHRES|UNKNOWN,SFAX,3060,MAHRES,UNKNOWN,CENTRE EST,SFAX,MAHRES,MAHRES,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,CENTRE EST|SFAX|MAHRES|MAHRES|UNKNOWN
4316,UNKNOWN|4000|SOUSSE|SOUSSE|UNKNOWN,SOUSSE,4000,SOUSSE,UNKNOWN,CENTRE EST,SOUSSE,SOUSSE,SOUSSE,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,CENTRE EST|SOUSSE|SOUSSE|SOUSSE|UNKNOWN
4317,UNKNOWN|4000|UNKNOWN|SOUSSE|UNKNOWN,UNKNOWN,4000,SOUSSE,UNKNOWN,CENTRE EST,SOUSSE,SOUSSE,SOUSSE,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,CENTRE EST|SOUSSE|SOUSSE|SOUSSE|UNKNOWN
4319,UNKNOWN|4200|4200|KEBILI|UNKNOWN,4200,4200,KEBILI,UNKNOWN,SUD OUEST,KEBILI,KEBILI,KEBILI,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,SUD OUEST|KEBILI|KEBILI|KEBILI|UNKNOWN
4326,UNKNOWN|7000|BIZERTE|BIZERTE|UNKNOWN,BIZERTE,7000,BIZERTE,UNKNOWN,NORD EST,BIZERTE,BIZERTE,BIZERTE,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,NORD EST|BIZERTE|BIZERTE|BIZERTE|UNKNOWN
4329,UNKNOWN|9|TUNIS|TUNIS|UNKNOWN,TUNIS,9,TUNIS,UNKNOWN,GRAND TUNIS,TUNIS,TUNIS,TUNIS,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|TUNIS|TUNIS|TUNIS|UNKNOWN
4330,UNKNOWN|A|TUNIS|TUNIS|UNKNOWN,TUNIS,A,TUNIS,UNKNOWN,GRAND TUNIS,TUNIS,TUNIS,TUNIS,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|TUNIS|TUNIS|TUNIS|UNKNOWN
4331,UNKNOWN|A|UNKNOWN|ARIANA|UNKNOWN,UNKNOWN,A,ARIANA,UNKNOWN,GRAND TUNIS,ARIANA,ARIANA,ARIANA,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|ARIANA|ARIANA|ARIANA|UNKNOWN
4336,UNKNOWN|AEROPORT|TUNIS|TUNIS|UNKNOWN,TUNIS,AEROPORT,TUNIS,UNKNOWN,GRAND TUNIS,TUNIS,TUNIS,TUNIS,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|TUNIS|TUNIS|TUNIS|UNKNOWN
4337,UNKNOWN|AGAREB|AGAREB|AGAREB|UNKNOWN,AGAREB,AGAREB,AGAREB,UNKNOWN,CENTRE EST,SFAX,AGAREB,AGAREB,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,CENTRE EST|SFAX|AGAREB|AGAREB|UNKNOWN
4338,UNKNOWN|AGAREB|SFAX|AGAREB|UNKNOWN,SFAX,AGAREB,AGAREB,UNKNOWN,CENTRE EST,SFAX,AGAREB,AGAREB,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,CENTRE EST|SFAX|AGAREB|AGAREB|UNKNOWN
4340,UNKNOWN|AGAREB|TUNIS|TUNIS|UNKNOWN,TUNIS,AGAREB,TUNIS,UNKNOWN,GRAND TUNIS,TUNIS,TUNIS,TUNIS,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|TUNIS|TUNIS|TUNIS|UNKNOWN
4345,UNKNOWN|AKOUDA|SOUSSE|AKOUDA|UNKNOWN,SOUSSE,AKOUDA,AKOUDA,UNKNOWN,CENTRE EST,SOUSSE,AKOUDA,AKOUDA,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,CENTRE EST|SOUSSE|AKOUDA|AKOUDA|UNKNOWN
4346,UNKNOWN|AKOUDA|SOUSSE|SOUSSE|UNKNOWN,SOUSSE,AKOUDA,SOUSSE,UNKNOWN,CENTRE EST,SOUSSE,SOUSSE,SOUSSE,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,CENTRE EST|SOUSSE|SOUSSE|SOUSSE|UNKNOWN
4347,UNKNOWN|AKOUDA|SOUSSE VILLE|SOUSSE|UNKNOWN,SOUSSE VILLE,AKOUDA,SOUSSE,UNKNOWN,CENTRE EST,SOUSSE,SOUSSE,SOUSSE,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,CENTRE EST|SOUSSE|SOUSSE|SOUSSE|UNKNOWN
4349,UNKNOWN|AL WARDIA|TUNIS|TUNIS|UNKNOWN,TUNIS,AL WARDIA,TUNIS,UNKNOWN,GRAND TUNIS,TUNIS,TUNIS,TUNIS,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|TUNIS|TUNIS|TUNIS|UNKNOWN
49,TUNISIE|ARIANA|ARIANA VILLE|ARIANA VILLE|UNKNOWN,ARIANA VILLE,ARIANA,ARIANA VILLE,UNKNOWN,GRAND TUNIS,ARIANA,ARIANA,ARIANA,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,1.0,localite,GRAND TUNIS|ARIANA|ARIANA|ARIANA|UNKNOWN
89,TUNISIE|ARIANA|ARIANA VILLE|SOUKRA|UNKNOWN,ARIANA VILLE,ARIANA,SOUKRA,UNKNOWN,GRAND TUNIS,ARIANA,LA SOUKRA,LA SOUKRA,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,1.0,localite,GRAND TUNIS|ARIANA|LA SOUKRA|LA SOUKRA|UNKNOWN
100,TUNISIE|ARIANA|ETTADH|CITE ETTADHAMEN|UNKNOWN,ETTADH,ARIANA,CITE ETTADHAMEN,UNKNOWN,GRAND TUNIS,ARIANA,ETTADHAMEN,ETTADHAMEN,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,1.0,localite,GRAND TUNIS|ARIANA|ETTADHAMEN|ETTADHAMEN|UNKNOWN
101,TUNISIE|ARIANA|ETTADHAM|CITE ETTADHAMEN|UNKNOWN,ETTADHAM,ARIANA,CITE ETTADHAMEN,UNKNOWN,GRAND TUNIS,ARIANA,ETTADHAMEN,ETTADHAMEN,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,1.0,localite,GRAND TUNIS|ARIANA|ETTADHAMEN|ETTADHAMEN|UNKNOWN
105,TUNISIE|ARIANA|ETTADHAMEN|CITE ETTADHAMEN|UNKNOWN,ETTADHAMEN,ARIANA,CITE ETTADHAMEN,UNKNOWN,GRAND TUNIS,ARIANA,ETTADHAMEN,ETTADHAMEN,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,1.0,localite,GRAND TUNIS|ARIANA|ETTADHAMEN|ETTADHAMEN|UNKNOWN
170,TUNISIE|ARIANA|LA SOUKRA|SOUKRA|UNKNOWN,LA SOUKRA,ARIANA,SOUKRA,UNKNOWN,GRAND TUNIS,ARIANA,LA SOUKRA,LA SOUKRA,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,1.0,localite,GRAND TUNIS|ARIANA|LA SOUKRA|LA SOUKRA|UNKNOWN
234,TUNISIE|ARIANA|RAOUED|SOUKRA|UNKNOWN,RAOUED,ARIANA,SOUKRA,UNKNOWN,GRAND TUNIS,ARIANA,LA SOUKRA,LA SOUKRA,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,1.0,localite,GRAND TUNIS|ARIANA|LA SOUKRA|LA SOUKRA|UNKNOWN
274,TUNISIE|ARIANA|SOUKRA|SOUKRA|UNKNOWN,SOUKRA,ARIANA,SOUKRA,UNKNOWN,GRAND TUNIS,ARIANA,LA SOUKRA,LA SOUKRA,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,1.0,localite,GRAND TUNIS|ARIANA|LA SOUKRA|LA SOUKRA|UNKNOWN
4353,UNKNOWN|AROUS|UNKNOWN|BEN AROUS|UNKNOWN,UNKNOWN,AROUS,BEN AROUS,UNKNOWN,GRAND TUNIS,BEN AROUS,BEN AROUS,BEN AROUS,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|BEN AROUS|BEN AROUS|BEN AROUS|UNKNOWN
4354,UNKNOWN|AVENUE DE C|TUNIS|TUNIS|UNKNOWN,TUNIS,AVENUE DE C,TUNIS,UNKNOWN,GRAND TUNIS,TUNIS,TUNIS,TUNIS,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|TUNIS|TUNIS|TUNIS|UNKNOWN
4357,UNKNOWN|B|TUNIS|LA MARSA|UNKNOWN,TUNIS,B,LA MARSA,UNKNOWN,GRAND TUNIS,TUNIS,LA MARSA,LA MARSA,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|TUNIS|LA MARSA|LA MARSA|UNKNOWN
4359,UNKNOWN|B AROUS|UNKNOWN|FOUCHANA|UNKNOWN,UNKNOWN,B AROUS,FOUCHANA,UNKNOWN,GRAND TUNIS,BEN AROUS,FOUCHANA,FOUCHANA,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|BEN AROUS|FOUCHANA|FOUCHANA|UNKNOWN
4360,UNKNOWN|B AROUS|UNKNOWN|MEGRINE|UNKNOWN,UNKNOWN,B AROUS,MEGRINE,UNKNOWN,GRAND TUNIS,BEN AROUS,MEGRINE,MEGRINE,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|BEN AROUS|MEGRINE|MEGRINE|UNKNOWN
4361,UNKNOWN|B AROUS|UNKNOWN|MORNAG|UNKNOWN,UNKNOWN,B AROUS,MORNAG,UNKNOWN,GRAND TUNIS,BEN AROUS,MORNAG,MORNAG,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|BEN AROUS|MORNAG|MORNAG|UNKNOWN
4365,UNKNOWN|BAB JAZIRA|TUNIS|TUNIS|UNKNOWN,TUNIS,BAB JAZIRA,TUNIS,UNKNOWN,GRAND TUNIS,TUNIS,TUNIS,TUNIS,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|TUNIS|TUNIS|TUNIS|UNKNOWN
4366,UNKNOWN|BAB JEBAL|TUNIS|TUNIS|UNKNOWN,TUNIS,BAB JEBAL,TUNIS,UNKNOWN,GRAND TUNIS,TUNIS,TUNIS,TUNIS,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|TUNIS|TUNIS|TUNIS|UNKNOWN
4368,UNKNOWN|BAB SAADOUN|TUNIS|TUNIS|UNKNOWN,TUNIS,BAB SAADOUN,TUNIS,UNKNOWN,GRAND TUNIS,TUNIS,TUNIS,TUNIS,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|TUNIS|TUNIS|TUNIS|UNKNOWN
4369,UNKNOWN|BARDO|BARDO|BARDO|UNKNOWN,BARDO,BARDO,BARDO,UNKNOWN,GRAND TUNIS,TUNIS,LE BARDO,LE BARDO,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.95,localite,GRAND TUNIS|TUNIS|LE BARDO|LE BARDO|UNKNOWN
